,date,balance
0,2002-12-18,719542.0
1,2002-12-25,732059.0
2,2003-01-01,730994.0
3,2003-01-08,723762.0
4,2003-01-15,720074.0
5,2003-01-22,735953.0
6,2003-01-29,712809.0
7,2003-02-05,719643.0
8,2003-02-12,713281.0
9,2003-02-19,730400.0
10,2003-02-26,721980.0
11,2003-03-05,722649.0
12,2003-03-12,717014.0
13,2003-03-19,729923.0
14,2003-03-26,725019.0
15,2003-04-02,732452.0
16,2003-04-09,727826.0
17,2003-04-16,745838.0
18,2003-04-23,732222.0
19,2003-04-30,746294.0
20,2003-05-07,733466.0
21,2003-05-14,740371.0
22,2003-05-21,734699.0
23,2003-05-28,744896.0
24,2003-06-04,731667.0
25,2003-06-11,743236.0
26,2003-06-18,735926.0
27,2003-06-25,744018.0
28,2003-07-02,740126.0
29,2003-07-09,744430.0
30,2003-07-16,737765.0
31,2003-07-23,745665.0
32,2003-07-30,740295.0
33,2003-08-06,734018.0
34,2003-08-13,735386.0
35,2003-08-20,750825.0
36,2003-08-27,740637.0
37,2003-09-03,750461.0
38,2003-09-10,737234.0
39,2003-09-17,743939.0
40,2003-09-24,741193.0
41,2003-10-01,753155.0
42,2003-10-08,737108.0
43,2003-10-15,754229.0
44,2003-10-22,743578.0
45,2003-10-29,747272.0
46,2003-11-05,744116.0
47,2003-11-12,745604.0
48,2003-11-19,744521.0
49,2003-11-26,756964.0
50,2003-12-03,749981.0
51,2003-12-10,756585.0
52,2003-12-17,753919.0
53,2003-12-24,767012.0
54,2003-12-31,771551.0
55,2004-01-07,755829.0
56,2004-01-14,752812.0
57,2004-01-21,775833.0
58,2004-01-28,755279.0
59,2004-02-04,754153.0
60,2004-02-11,750999.0
61,2004-02-18,758759.0
62,2004-02-25,750666.0
63,2004-03-03,754867.0
64,2004-03-10,749950.0
65,2004-03-17,760638.0
66,2004-03-24,751510.0
67,2004-03-31,760725.0
68,2004-04-07,754083.0
69,2004-04-14,763734.0
70,2004-04-21,757984.0
71,2004-04-28,772927.0
72,2004-05-05,758838.0
73,2004-05-12,764835.0
74,2004-05-19,756874.0
75,2004-05-26,771108.0
76,2004-06-02,764090.0
77,2004-06-09,772187.0
78,2004-06-16,761834.0
79,2004-06-23,775261.0
80,2004-06-30,779578.0
81,2004-07-07,778163.0
82,2004-07-14,775536.0
83,2004-07-21,776764.0
84,2004-07-28,773916.0
85,2004-08-04,772085.0
86,2004-08-11,769265.0
87,2004-08-18,767595.0
88,2004-08-25,775437.0
89,2004-09-01,785273.0
90,2004-09-08,788602.0
91,2004-09-15,789128.0
92,2004-09-22,782124.0
93,2004-09-29,786330.0
94,2004-10-06,781777.0
95,2004-10-13,795483.0
96,2004-10-20,784954.0
97,2004-10-27,791336.0
98,2004-11-03,790552.0
99,2004-11-10,800473.0
100,2004-11-17,794090.0
101,2004-11-24,809956.0
102,2004-12-01,807063.0
103,2004-12-08,808495.0
104,2004-12-15,807028.0
105,2004-12-22,811333.0
106,2004-12-29,810944.0
107,2005-01-05,815702.0
108,2005-01-12,798455.0
109,2005-01-19,806960.0
110,2005-01-26,807262.0
111,2005-02-02,804746.0
112,2005-02-09,797299.0
113,2005-02-16,795606.0
114,2005-02-23,804576.0
115,2005-03-02,801252.0
116,2005-03-09,799250.0
117,2005-03-16,807211.0
118,2005-03-23,797094.0
119,2005-03-30,807551.0
120,2005-04-06,797327.0
121,2005-04-13,805707.0
122,2005-04-20,801793.0
123,2005-04-27,809797.0
124,2005-05-04,802412.0
125,2005-05-11,808378.0
126,2005-05-18,801546.0
127,2005-05-25,810160.0
128,2005-06-01,817335.0
129,2005-06-08,814172.0
130,2005-06-15,811198.0
131,2005-06-22,810429.0
132,2005-06-29,810082.0
133,2005-07-06,821556.0
134,2005-07-13,808861.0
135,2005-07-20,816804.0
136,2005-07-27,814259.0
137,2005-08-03,818841.0
138,2005-08-10,808544.0
139,2005-08-17,813774.0
140,2005-08-24,811313.0
141,2005-08-31,823237.0
142,2005-09-07,822500.0
143,2005-09-14,823590.0
144,2005-09-21,812926.0
145,2005-09-28,823771.0
146,2005-10-05,817137.0
147,2005-10-12,826306.0
148,2005-10-19,814281.0
149,2005-10-26,819105.0
150,2005-11-02,814571.0
151,2005-11-09,824991.0
152,2005-11-16,823263.0
153,2005-11-23,833124.0
154,2005-11-30,835059.0
155,2005-12-07,833250.0
156,2005-12-14,830950.0
157,2005-12-21,848317.0
158,2005-12-28,847700.0
159,2006-01-04,851856.0
160,2006-01-11,829357.0
161,2006-01-18,836042.0
162,2006-01-25,828901.0
163,2006-02-01,831808.0
164,2006-02-08,827613.0
165,2006-02-15,835240.0
166,2006-02-22,840555.0
167,2006-03-01,839356.0
168,2006-03-08,839234.0
169,2006-03-15,843010.0
170,2006-03-22,838003.0
171,2006-03-29,833675.0
172,2006-04-05,834589.0
173,2006-04-12,836862.0
174,2006-04-19,836352.0
175,2006-04-26,844572.0
176,2006-05-03,843867.0
177,2006-05-10,838405.0
178,2006-05-17,838153.0
179,2006-05-24,840251.0
180,2006-05-31,851580.0
181,2006-06-07,849074.0
182,2006-06-14,845869.0
183,2006-06-21,844773.0
184,2006-06-28,844436.0
185,2006-07-05,851659.0
186,2006-07-12,844391.0
187,2006-07-19,849894.0
188,2006-07-26,841552.0
189,2006-08-02,850263.0
190,2006-08-09,840006.0
191,2006-08-16,842876.0
192,2006-08-23,837987.0
193,2006-08-30,850925.0
194,2006-09-06,848594.0
195,2006-09-13,840886.0
196,2006-09-20,838192.0
197,2006-09-27,849971.0
198,2006-10-04,842296.0
199,2006-10-11,859339.0
200,2006-10-18,844200.0
201,2006-10-25,852648.0
202,2006-11-01,855536.0
203,2006-11-08,858630.0
204,2006-11-15,855551.0
205,2006-11-22,865126.0
206,2006-11-29,856671.0
207,2006-12-06,862178.0
208,2006-12-13,853851.0
209,2006-12-20,865010.0
210,2006-12-27,869988.0
211,2007-01-03,874626.0
212,2007-01-10,854819.0
213,2007-01-17,859363.0
214,2007-01-24,851755.0
215,2007-01-31,865730.0
216,2007-02-07,855057.0
217,2007-02-14,867199.0
218,2007-02-21,869235.0
219,2007-02-28,877409.0
220,2007-03-07,864505.0
221,2007-03-14,876108.0
222,2007-03-21,863067.0
223,2007-03-28,869803.0
224,2007-04-04,862319.0
225,2007-04-11,865441.0
226,2007-04-18,861335.0
227,2007-04-25,879686.0
228,2007-05-02,890857.0
229,2007-05-09,875270.0
230,2007-05-16,859559.0
231,2007-05-23,873935.0
